token no,ဗျည်းအမျိးအစား,ဗျည်း+သရ,အသံ,token,NNLD code,သရနံပါတ်,ဗျည်းနံပါတ်
1,ဖိုဗျည်း,က+အ,က,101-000-201,1,1
2,ဖိုဗျည်း,က+အာ,ကာ,101-000-202,2,1
3,ဖိုဗျည်း,က+အား,ကား,101-000-203,3,1
4,ဖိုဗျည်း,က+အိ,ကိ,101-000-204,4,1
5,ဖိုဗျည်း,က+အီ့,ကီ့,101-000-205,5,1
6,ဖိုဗျည်း,က+အီ,ကီ,101-000-206,6,1
7,ဖိုဗျည်း,က+အီး,ကီး,101-000-207,7,1
8,ဖိုဗျည်း,က+အု,ကု,101-000-208,8,1
9,ဖိုဗျည်း,က+အူ့,ကူ့,101-000-209,9,1
10,ဖိုဗျည်း,က+အူ,ကူ,101-000-210,10,1
11,ဖိုဗျည်း,က+အူး,ကူး,101-000-211,11,1
12,ဖိုဗျည်း,က+အေ,ကေ,101-000-212,12,1
13,ဖိုဗျည်း,က+အေ့,ကေ့,101-000-213,13,1
14,ဖိုဗျည်း,က+အေး,ကေး,101-000-214,14,1
15,ဖိုဗျည်း,က+အဲ,ကဲ,101-000-215,15,1
16,ဖိုဗျည်း,က+အဲ့,ကဲ့,101-000-216,16,1
17,ဖိုဗျည်း,က+အဲး,ကဲး,101-000-217,17,1
18,ဖိုဗျည်း,က+အယ်,ကယ်,101-000-218,18,1
19,ဖိုဗျည်း,က+အယ့်,ကယ့်,101-000-219,19,1
20,ဖိုဗျည်း,က+အယ်း,ကယ်း,101-000-220,20,1
21,ဖိုဗျည်း,က+အော်,ကော်,101-000-221,21,1
22,ဖိုဗျည်း,က+အောဝ်,ကောဝ်,101-000-222,22,1
23,ဖိုဗျည်း,က+အော့,ကော့,101-000-223,23,1
24,ဖိုဗျည်း,က+အော,ကော,101-000-224,24,1
25,ဖိုဗျည်း,က+အက်,ကက်,101-000-225,25,1
26,ဖိုဗျည်း,က+အိုက်,ကိုက်,101-000-226,26,1
27,ဖိုဗျည်း,က+အောက်,ကောက်,101-000-227,27,1
28,ဖိုဗျည်း,က+အင်,ကင်,101-000-228,28,1
29,ဖိုဗျည်း,က+အင့်,ကင့်,101-000-229,29,1
30,ဖိုဗျည်း,က+အင်း,ကင်း,101-000-230,30,1
31,ဖိုဗျည်း,က+အိုင်,ကိုင်,101-000-231,31,1
32,ဖိုဗျည်း,က+အိုင့်,ကိုင့်,101-000-232,32,1
33,ဖိုဗျည်း,က+အိုင်း,ကိုင်း,101-000-233,33,1
34,ဖိုဗျည်း,က+အောင်,ကောင်,101-000-234,34,1
35,ဖိုဗျည်း,က+အောင့်,ကောင့်,101-000-235,35,1
36,ဖိုဗျည်း,က+အောင်း,ကောင်း,101-000-236,36,1
37,ဖိုဗျည်း,က+အစ်,ကစ်,101-000-237,37,1
38,ဖိုဗျည်း,က+အည်,ကည်,101-000-238,38,1
39,ဖိုဗျည်း,က+အည့်,ကည့်,101-000-239,39,1
