C_ID,ဗျည်း,အမျိုးအစား,H-ID,Base Unicode,Freq Rank,Phonetic Value (P-Val),Complexity Score (C-Score),Semantic Density (S-Den),Grapheme Type (G-Type),Medial Code (M-Code)
C46,ကျ,NNLDSဗျည်း,46.20,U+1000 U+103B,16,46,3,3,2,0
C46w,ကျွ,NNLDSဗျည်း + ဝ,46.21,U+1000 U+103B U+103D,21,46.5,4,2,4,1
C47,ချ,NNLDSဗျည်း,47.20,U+1001 U+103B,15,47,3,2,2,0
C47w,ချွ,NNLDSဗျည်း + ဝ,47.21,U+1001 U+103B U+103D,23,47.5,4,2,4,1
C48,ဂျ,NNLDSဗျည်း,48.20,U+1002 U+103B,58,48,3,1,2,0
C48w,ဂျွ,NNLDSဗျည်း + ဝ,48.21,U+1002 U+103B U+103D,98,48.5,4,1,4,1
C49,ဃျ,NNLDSဗျည်း,49.20,U+1003 U+103B,150,49,3,1,2,0
C49w,ဃျွ,NNLDSဗျည်း + ဝ,49.21,U+1003 U+103B U+103D,188,49.5,4,1,4,1
C50,ငျ,NNLDSဗျည်း,50.20,U+1004 U+103B,62,50,3,2,2,0
C50w,ငျွ,NNLDSဗျည်း + ဝ,50.21,U+1004 U+103B U+103D,130,50.5,4,1,4,1
C51,ငျှ,NNLDSဗျည်း,51.20,U+1004 U+103B U+103A,140,51,4,1,2,0
C51w,ငျှွ,NNLDSဗျည်း + ဝ,51.21,U+1004 U+103B U+103A U+103D,189,51.5,5,1,4,1
C52,ပျ,NNLDSဗျည်း,52.20,U+1015 U+103B,25,52,3,2,2,0
C52w,ပျွ,NNLDSဗျည်း + ဝ,52.21,U+1015 U+103B U+103D,78,52.5,4,1,4,1
C53,ဖျ,NNLDSဗျည်း,53.20,U+1016 U+103B,56,53,3,2,2,0
C53w,ဖျွ,NNLDSဗျည်း + ဝ,53.21,U+1016 U+103B U+103D,118,53.5,4,1,4,1
C54,ဗျ,NNLDSဗျည်း,54.20,U+1017 U+103B,64,54,3,2,2,0
C54w,ဗျွ,NNLDSဗျည်း + ဝ,54.21,U+1017 U+103B U+103D,135,54.5,4,1,4,1
C55,ဘျ,NNLDSဗျည်း,55.20,U+1018 U+103B,72,55,3,1,2,0
C55w,ဘျွ,NNLDSဗျည်း + ဝ,55.21,U+1018 U+103B U+103D,155,55.5,4,1,4,1
C56,မျ,NNLDSဗျည်း,56.20,U+1019 U+103B,53,56,3,2,2,0
C56w,မျွ,NNLDSဗျည်း + ဝ,56.21,U+1019 U+103B U+103D,112,56.5,4,1,4,1
C57,မျှ,NNLDSဗျည်း,57.20,U+1019 U+103B U+103A,66,57,4,2,2,0
C57w,မျှွ,NNLDSဗျည်း + ဝ,57.21,U+1019 U+103B U+103A U+103D,145,57.5,5,1,4,1
C58,ကြ,NNLDSဗျည်း,58.20,U+1000 U+103C,18,58,3,4,2,0
C58w,ကြွ,NNLDSဗျည်း + ဝ,58.21,U+1000 U+103C U+103D,24,58.5,4,2,4,1
C59,ခြ,NNLDSဗျည်း,59.20,U+1001 U+103C,35,59,3,2,2,0
C59w,ခြွ,NNLDSဗျည်း + ဝ,59.21,U+1001 U+103C U+103D,79,59.5,4,1,4,1
C60,ဂြ,NNLDSဗျည်း,60.20,U+1002 U+103C,74,60,3,1,2,0
C60w,ဂြွ,NNLDSဗျည်း + ဝ,60.21,U+1002 U+103C U+103D,148,60.5,4,1,4,1
C61,ဃြ,NNLDSဗျည်း,61.20,U+1003 U+103C,160,61,3,1,2,0
C61w,ဃြွ,NNLDSဗျည်း + ဝ,61.21,U+1003 U+103C U+103D,190,61.5,4,1,4,1
C62,ငြ,NNLDSဗျည်း,62.20,U+1004 U+103C,67,62,3,2,2,0
C62w,ငြွ,NNLDSဗျည်း + ဝ,62.21,U+1004 U+103C U+103D,132,62.5,4,1,4,1
C63,ငြှ,NNLDSဗျည်း,63.20,U+1004 U+103C U+103A,142,63,4,1,2,0
C63w,ငြှွ,NNLDSဗျည်း + ဝ,63.21,U+1004 U+103C U+103A U+103D,191,63.5,5,1,4,1
C64,ပြ,NNLDSဗျည်း,64.20,U+1015 U+103C,17,64,3,2,2,0
C64w,ပြွ,NNLDSဗျည်း + ဝ,64.21,U+1015 U+103C U+103D,59,64.5,4,1,4,1
C65,ဖြ,NNLDSဗျည်း,65.20,U+1016 U+103C,26,65,3,2,2,0
C65w,ဖြွ,NNLDSဗျည်း + ဝ,65.21,U+1016 U+103C U+103D,81,65.5,4,1,4,1
C66,ဗြ,NNLDSဗျည်း,66.20,U+1017 U+103C,71,66,3,1,2,0
C66w,ဗြွ,NNLDSဗျည်း + ဝ,66.21,U+1017 U+103C U+103D,152,66.5,4,1,4,1
C67,ဘြ,NNLDSဗျည်း,67.20,U+1018 U+103C,76,67,3,1,2,0
C67w,ဘြွ,NNLDSဗျည်း + ဝ,67.21,U+1018 U+103C U+103D,165,67.5,4,1,4,1
C68,မြ,NNLDSဗျည်း,68.20,U+1019 U+103C,19,68,3,3,2,0
C68w,မြွ,NNLDSဗျည်း + ဝ,68.21,U+1019 U+103C U+103D,50,68.5,4,1,4,1
C69,မြှ,NNLDSဗျည်း,69.20,U+1019 U+103C U+103A,77,69,4,1,2,0
C69w,မြှွ,NNLDSဗျည်း + ဝ,69.21,U+1019 U+103C U+103A U+103D,168,69.5,5,1,4,1
